"iORF_ID","MD5","length","analysis","signature_accession","signature_description","start","stop","score","status","date","interpro_accession","interpro_description"
"ENCT00000477506_ncRNA_8","d6d49e4f189c3e6abd37f2ee3a88bc13",34,"MobiDBLite","mobidb-lite","consensus disorder prediction",1,34,"-","T","03-11-2022","-","-"
"ENST00000304743_174_348","55313baf76a0a8e32c81257e8b134218",58,"MobiDBLite","mobidb-lite","consensus disorder prediction",1,58,"-","T","03-11-2022","-","-"
"ENST00000304743_174_348","55313baf76a0a8e32c81257e8b134218",58,"MobiDBLite","mobidb-lite","consensus disorder prediction",16,58,"-","T","03-11-2022","-","-"
"ENCT00000065963_ncRNA_4","8d4aea9d698c10bab2f8f75720f01010",28,"MobiDBLite","mobidb-lite","consensus disorder prediction",1,18,"-","T","03-11-2022","-","-"
"ENCT00000065963_ncRNA_4","8d4aea9d698c10bab2f8f75720f01010",28,"MobiDBLite","mobidb-lite","consensus disorder prediction",1,28,"-","T","03-11-2022","-","-"
"ENCT00000210513_ncRNA_1","13cfbf04ea621f26610f67e62f308cc0",48,"ProSiteProfiles","PS51257","Prokaryotic membrane lipoprotein lipid attachment site profile.",1,29,"5.0","T","03-11-2022","-","-"
"ENST00000292807_67_139","52cc055cfea5df0018fadea970ffa212",23,"MobiDBLite","mobidb-lite","consensus disorder prediction",1,23,"-","T","03-11-2022","-","-"
"MICT00000302594_4646_4718","b5cffce9ca2357101b06d4a534f5d8da",23,"MobiDBLite","mobidb-lite","consensus disorder prediction",1,23,"-","T","03-11-2022","-","-"
"ENST00000618019_uORF_5","7f3f986456289482bf8777e8fbe7d9c2",64,"MobiDBLite","mobidb-lite","consensus disorder prediction",1,37,"-","T","03-11-2022","-","-"
"ENST00000618019_uORF_5","7f3f986456289482bf8777e8fbe7d9c2",64,"MobiDBLite","mobidb-lite","consensus disorder prediction",1,39,"-","T","03-11-2022","-","-"
"ENST00000577992_uORF_16","4877430daf8e1e076a4628083bdfea92",32,"MobiDBLite","mobidb-lite","consensus disorder prediction",1,32,"-","T","03-11-2022","-","-"
"ENST00000577992_uORF_16","4877430daf8e1e076a4628083bdfea92",32,"MobiDBLite","mobidb-lite","consensus disorder prediction",14,32,"-","T","03-11-2022","-","-"
"ENST00000308660_333_492","e549fa4fa47737c2103d8c3880fe3031",52,"MobiDBLite","mobidb-lite","consensus disorder prediction",1,21,"-","T","03-11-2022","-","-"
"ENST00000367696_29_233","95a153496653925231f3bf16a9863245",67,"MobiDBLite","mobidb-lite","consensus disorder prediction",1,24,"-","T","03-11-2022","-","-"
"FTMT25700049571_17_263","53549f009caf2d1c1d19407232e0cb96",82,"MobiDBLite","mobidb-lite","consensus disorder prediction",1,37,"-","T","03-11-2022","-","-"
"HBMT00001496680_225_435","fe33184e18392128b8db098b6b57ef2d",69,"MobiDBLite","mobidb-lite","consensus disorder prediction",1,69,"-","T","03-11-2022","-","-"
"HBMT00001496680_225_435","fe33184e18392128b8db098b6b57ef2d",69,"MobiDBLite","mobidb-lite","consensus disorder prediction",1,16,"-","T","03-11-2022","-","-"
"ENCT00000234332_ncRNA_27","755c52bf96a8d144cfb271b80d7e4f24",46,"MobiDBLite","mobidb-lite","consensus disorder prediction",1,46,"-","T","03-11-2022","-","-"
"ENCT00000234332_ncRNA_27","755c52bf96a8d144cfb271b80d7e4f24",46,"MobiDBLite","mobidb-lite","consensus disorder prediction",1,20,"-","T","03-11-2022","-","-"
"ENST00000510714_37_112","82ff3a915f755a5437adadf77b6d17a5",24,"MobiDBLite","mobidb-lite","consensus disorder prediction",1,24,"-","T","03-11-2022","-","-"
"ENST00000336520_60_156","39cc8106f5a75e585ad8db5e04b12462",31,"MobiDBLite","mobidb-lite","consensus disorder prediction",8,22,"-","T","03-11-2022","-","-"
"ENST00000336520_60_156","39cc8106f5a75e585ad8db5e04b12462",31,"MobiDBLite","mobidb-lite","consensus disorder prediction",1,31,"-","T","03-11-2022","-","-"
"ENST00000240100_56_134","0f0ac66f927f00e588e3e67fead7a312",25,"MobiDBLite","mobidb-lite","consensus disorder prediction",1,25,"-","T","03-11-2022","-","-"
"ENST00000361384_uORF_3","2a9a6d419ba27aa4d54228831d332ab5",21,"MobiDBLite","mobidb-lite","consensus disorder prediction",1,21,"-","T","03-11-2022","-","-"
"ENST00000597953_348_411","123e2205bb15da035664e455b05b266c",20,"MobiDBLite","mobidb-lite","consensus disorder prediction",1,20,"-","T","03-11-2022","-","-"
"MICT00000333651_285_348","c4c8a8dbfb1236a4255af3cb64cb2edc",21,"MobiDBLite","mobidb-lite","consensus disorder prediction",1,21,"-","T","03-11-2022","-","-"
"ENCT00000205104_72_222","785e02dc7d1188dc74c84d402db5bfa5",49,"MobiDBLite","mobidb-lite","consensus disorder prediction",21,49,"-","T","03-11-2022","-","-"
"ENST00000488743_7_292","506b6114cd2ac4c9079a7c30d024081a",94,"MobiDBLite","mobidb-lite","consensus disorder prediction",44,94,"-","T","03-11-2022","-","-"
"ENST00000264607_dORF_15","c8f0604d51315cd4f02dfb6a8c85bff5",29,"MobiDBLite","mobidb-lite","consensus disorder prediction",1,29,"-","T","03-11-2022","-","-"
"FTMT23900023561_ncRNA_12","4a4b5dd4af309c4ee0805e944ded0d3d",25,"MobiDBLite","mobidb-lite","consensus disorder prediction",1,25,"-","T","03-11-2022","-","-"
"FTMT26200002788_148_214","9174833e9a9d1c73122d91ca658b9eec",21,"MobiDBLite","mobidb-lite","consensus disorder prediction",1,21,"-","T","03-11-2022","-","-"
"ENST00000590513_311_476","b84ee3a14e53dddde2434192b7ee8d6c",54,"MobiDBLite","mobidb-lite","consensus disorder prediction",14,54,"-","T","03-11-2022","-","-"
"ENST00000590513_311_476","b84ee3a14e53dddde2434192b7ee8d6c",54,"MobiDBLite","mobidb-lite","consensus disorder prediction",27,41,"-","T","03-11-2022","-","-"
"HBMT00000139784_459_1545","d256348e50153994f2feea6c85077bb0",361,"MobiDBLite","mobidb-lite","consensus disorder prediction",217,272,"-","T","03-11-2022","-","-"
"HBMT00000139784_459_1545","d256348e50153994f2feea6c85077bb0",361,"Gene3D","G3DSA:1.10.10.60","-",12,75,"6.8E-14","T","03-11-2022","-","-"
"HBMT00000139784_459_1545","d256348e50153994f2feea6c85077bb0",361,"Pfam","PF13837","Myb/SANT-like DNA-binding domain",11,99,"1.5E-16","T","03-11-2022","IPR044822","Myb/SANT-like DNA-binding domain 4"
"HBMT00000139784_459_1545","d256348e50153994f2feea6c85077bb0",361,"Coils","Coil","Coil",280,301,"-","T","03-11-2022","-","-"
"HBMT00000139784_459_1545","d256348e50153994f2feea6c85077bb0",361,"MobiDBLite","mobidb-lite","consensus disorder prediction",223,250,"-","T","03-11-2022","-","-"
"HBMT00000139784_459_1545","d256348e50153994f2feea6c85077bb0",361,"MobiDBLite","mobidb-lite","consensus disorder prediction",174,198,"-","T","03-11-2022","-","-"
"HBMT00000139784_459_1545","d256348e50153994f2feea6c85077bb0",361,"MobiDBLite","mobidb-lite","consensus disorder prediction",184,198,"-","T","03-11-2022","-","-"
"MICT00000264375_19_88","40584c7b6eea5f3ef1dc4db576f32cd7",23,"MobiDBLite","mobidb-lite","consensus disorder prediction",1,17,"-","T","03-11-2022","-","-"
"MICT00000264375_19_88","40584c7b6eea5f3ef1dc4db576f32cd7",23,"MobiDBLite","mobidb-lite","consensus disorder prediction",1,23,"-","T","03-11-2022","-","-"
"ENST00000515225_12_108","020c8b4d120072b027a119d00c095ce3",31,"MobiDBLite","mobidb-lite","consensus disorder prediction",1,31,"-","T","03-11-2022","-","-"
"FTMT21900034698_ncRNA_5","83b49f71b7e335a3d9fa94482c4095de",22,"MobiDBLite","mobidb-lite","consensus disorder prediction",1,22,"-","T","03-11-2022","-","-"
"ENCT00000135854_607_682","e97a09de894202a82d5288cfb11bc12e",24,"MobiDBLite","mobidb-lite","consensus disorder prediction",1,24,"-","T","03-11-2022","-","-"
"ENCT00000101107_19_151","c27944ab73a3e0235c3ba526a5ea38a2",44,"MobiDBLite","mobidb-lite","consensus disorder prediction",1,44,"-","T","03-11-2022","-","-"
"ENST00000609656_uORF_17","411540e2af6dbf22e96bf53754aedd40",20,"MobiDBLite","mobidb-lite","consensus disorder prediction",1,20,"-","T","03-11-2022","-","-"
"ENST00000511587_12_93","7401458302333a009fc14c1ad9e983c3",26,"MobiDBLite","mobidb-lite","consensus disorder prediction",1,26,"-","T","03-11-2022","-","-"
"ENST00000511587_12_93","7401458302333a009fc14c1ad9e983c3",26,"MobiDBLite","mobidb-lite","consensus disorder prediction",12,26,"-","T","03-11-2022","-","-"
"ENCT00000333400_13_79","dde6c583f768644bd1a48474eedbb0ee",21,"MobiDBLite","mobidb-lite","consensus disorder prediction",1,21,"-","T","03-11-2022","-","-"
"ENCT00000241473_108_177","8e6e85a6ed62accfad15b6e0e7dfe28e",22,"MobiDBLite","mobidb-lite","consensus disorder prediction",1,22,"-","T","03-11-2022","-","-"
"ENCT00000243203_ncRNA_8","44e4293b27131bde9e23dabf31afde3c",25,"MobiDBLite","mobidb-lite","consensus disorder prediction",1,25,"-","T","03-11-2022","-","-"
"ENST00000343702_uORF_5","43e52b00a58fbcdfa4be4c8cafbb95d1",39,"MobiDBLite","mobidb-lite","consensus disorder prediction",1,16,"-","T","03-11-2022","-","-"
"ENST00000343702_uORF_5","43e52b00a58fbcdfa4be4c8cafbb95d1",39,"MobiDBLite","mobidb-lite","consensus disorder prediction",1,39,"-","T","03-11-2022","-","-"
"ENST00000356860_58_130","63ac160ded47eb874485da402fd52a2d",23,"MobiDBLite","mobidb-lite","consensus disorder prediction",1,23,"-","T","03-11-2022","-","-"
"FTMT26900021503_448_520","114f5a92dc5d454cde94e03edfcbff8a",23,"MobiDBLite","mobidb-lite","consensus disorder prediction",1,23,"-","T","03-11-2022","-","-"
"ENST00000352251_139_289","9c4b1f7d0c83c110ce96962638ef9233",50,"MobiDBLite","mobidb-lite","consensus disorder prediction",1,22,"-","T","03-11-2022","-","-"
"ENCT00000291780_113_203","44d9625674a6aaac936dbccc2fe14aaa",29,"MobiDBLite","mobidb-lite","consensus disorder prediction",1,29,"-","T","03-11-2022","-","-"
"FTMT20100068226_44_146","e1965c3ea8fe4004052f96dcc6c9e856",33,"MobiDBLite","mobidb-lite","consensus disorder prediction",1,33,"-","T","03-11-2022","-","-"
"MICT00000310163_ncRNA_8","8977c8f6a4bc2c7d6a3285eb19af507d",21,"MobiDBLite","mobidb-lite","consensus disorder prediction",1,21,"-","T","03-11-2022","-","-"
"ENST00000615670_104_287","43914856ac575b2f22b44fec87b73e7b",60,"MobiDBLite","mobidb-lite","consensus disorder prediction",1,60,"-","T","03-11-2022","-","-"
"ENST00000615670_104_287","43914856ac575b2f22b44fec87b73e7b",60,"MobiDBLite","mobidb-lite","consensus disorder prediction",9,23,"-","T","03-11-2022","-","-"
"ENST00000405409_144_219","de97ac89d4f9f3117ae6ea38b0e3b79d",24,"MobiDBLite","mobidb-lite","consensus disorder prediction",1,16,"-","T","03-11-2022","-","-"
"ENST00000405409_144_219","de97ac89d4f9f3117ae6ea38b0e3b79d",24,"MobiDBLite","mobidb-lite","consensus disorder prediction",1,24,"-","T","03-11-2022","-","-"
"ENST00000524901_uORF_15","9627db1bb242ec34c03d6b5a7d9ae7a7",37,"MobiDBLite","mobidb-lite","consensus disorder prediction",1,37,"-","T","03-11-2022","-","-"
"ENCT00000456402_4_220","912ae580e1acd52cba0a805945a7d53e",71,"MobiDBLite","mobidb-lite","consensus disorder prediction",33,56,"-","T","03-11-2022","-","-"
"ENCT00000456402_4_220","912ae580e1acd52cba0a805945a7d53e",71,"MobiDBLite","mobidb-lite","consensus disorder prediction",1,32,"-","T","03-11-2022","-","-"
"ENCT00000456402_4_220","912ae580e1acd52cba0a805945a7d53e",71,"MobiDBLite","mobidb-lite","consensus disorder prediction",1,56,"-","T","03-11-2022","-","-"
"ENST00000314134_1249_1330","cd16e91de0489de928914b815d94ca8c",26,"MobiDBLite","mobidb-lite","consensus disorder prediction",1,26,"-","T","03-11-2022","-","-"
"FTMT20300017596_220_406","279fdb151e29f1c9eda2e42313aa4823",61,"MobiDBLite","mobidb-lite","consensus disorder prediction",1,61,"-","T","03-11-2022","-","-"
"FTMT20300017596_220_406","279fdb151e29f1c9eda2e42313aa4823",61,"MobiDBLite","mobidb-lite","consensus disorder prediction",1,19,"-","T","03-11-2022","-","-"
"MICT00000167944_131_209","97e0e33509b9b3f82412dce76d2b7235",25,"MobiDBLite","mobidb-lite","consensus disorder prediction",1,25,"-","T","03-11-2022","-","-"
"HBMT00000498743_ncRNA_0","eef2f3212fc191101fcfbc5d873f47b5",86,"MobiDBLite","mobidb-lite","consensus disorder prediction",1,37,"-","T","03-11-2022","-","-"
"HBMT00001347620_199_262","dee4a29449035e356df71ae137042da4",20,"MobiDBLite","mobidb-lite","consensus disorder prediction",1,20,"-","T","03-11-2022","-","-"
"MICT00000157953_ncRNA_0","8cbac5436c1f3f5162e9eb00f1390d83",30,"MobiDBLite","mobidb-lite","consensus disorder prediction",1,30,"-","T","03-11-2022","-","-"
"HBMT00000714376_4048_4171","7adbeafb4601d3ea534223db465cc747",41,"MobiDBLite","mobidb-lite","consensus disorder prediction",17,41,"-","T","03-11-2022","-","-"
"ENST00000206423_uORF_5","f931d3c0f6b472051b50b83aea2ac313",20,"MobiDBLite","mobidb-lite","consensus disorder prediction",1,20,"-","T","03-11-2022","-","-"
"ENST00000551898_21_93","e87f7a9f3d6016de283bcb97c568e63a",24,"MobiDBLite","mobidb-lite","consensus disorder prediction",1,24,"-","T","03-11-2022","-","-"
"ENST00000551898_21_93","e87f7a9f3d6016de283bcb97c568e63a",24,"MobiDBLite","mobidb-lite","consensus disorder prediction",6,24,"-","T","03-11-2022","-","-"
"ENST00000504520_453_684","8eb25839825d39e8f2222b7fb3dd651d",76,"MobiDBLite","mobidb-lite","consensus disorder prediction",30,53,"-","T","03-11-2022","-","-"
"FTMT21100039618_ncRNA_0","7ef0b69c6c04ac77429e7921cda33eb4",31,"MobiDBLite","mobidb-lite","consensus disorder prediction",1,31,"-","T","03-11-2022","-","-"
"MICT00000322199_405_519","267eab3d7b83a37db93d11097b83e1e3",37,"MobiDBLite","mobidb-lite","consensus disorder prediction",1,37,"-","T","03-11-2022","-","-"
"MICT00000182377_ncRNA_0","56c7e4440c29712c54c6ff6ef7f588fe",67,"MobiDBLite","mobidb-lite","consensus disorder prediction",1,22,"-","T","03-11-2022","-","-"
"MICT00000161981_882_942","784a428e7927e6c9d824827d9284d735",20,"MobiDBLite","mobidb-lite","consensus disorder prediction",1,20,"-","T","03-11-2022","-","-"
"FTMT22900022229_ncRNA_8","73f782f4a823f52696c18e8060c2c25b",20,"MobiDBLite","mobidb-lite","consensus disorder prediction",1,20,"-","T","03-11-2022","-","-"
"ENST00000416263_489_690","9f8c9ac24f9ecbd6329c00e9eac41d12",67,"MobiDBLite","mobidb-lite","consensus disorder prediction",41,67,"-","T","03-11-2022","-","-"
"ENST00000416263_489_690","9f8c9ac24f9ecbd6329c00e9eac41d12",67,"MobiDBLite","mobidb-lite","consensus disorder prediction",45,67,"-","T","03-11-2022","-","-"
"ENST00000532791_271_352","adccd1cf8a6d19ce7e130706ab97ec89",26,"MobiDBLite","mobidb-lite","consensus disorder prediction",1,26,"-","T","03-11-2022","-","-"
"FTMT23900020615_236_302","7ef1ab665e8bacdcd91701669dc2169e",22,"MobiDBLite","mobidb-lite","consensus disorder prediction",1,22,"-","T","03-11-2022","-","-"
"ENST00000361924_uORF_16","176ae04cbc297fc01c7a990d44be346a",47,"MobiDBLite","mobidb-lite","consensus disorder prediction",1,47,"-","T","03-11-2022","-","-"
"ENST00000452584_ncRNA_5","7663c9224dc95652c252fa89befae0bc",22,"MobiDBLite","mobidb-lite","consensus disorder prediction",1,22,"-","T","03-11-2022","-","-"
"ENST00000263253_830_941","9109246016ee3fb6d32303b9e503c370",37,"MobiDBLite","mobidb-lite","consensus disorder prediction",17,37,"-","T","03-11-2022","-","-"
"ENST00000370944_uORF_7","65449a95bd700256dabe89061cf79a22",23,"MobiDBLite","mobidb-lite","consensus disorder prediction",1,23,"-","T","03-11-2022","-","-"
"ENST00000473451_ncRNA_3","fefa323b17a3ed94a50d92acb5612d02",33,"MobiDBLite","mobidb-lite","consensus disorder prediction",1,33,"-","T","03-11-2022","-","-"
"ENST00000521389_uORF_4","c9a69ade11dcd488ba0b06f37db335c5",20,"MobiDBLite","mobidb-lite","consensus disorder prediction",1,20,"-","T","03-11-2022","-","-"
"FTMT27500007883_141_261","2342806d5d865f6e55303ba676c6fdeb",39,"MobiDBLite","mobidb-lite","consensus disorder prediction",1,39,"-","T","03-11-2022","-","-"
"ENCT00000317123_ncRNA_8","6ebdd5ecc62409a2c0a5209ac4245d75",23,"MobiDBLite","mobidb-lite","consensus disorder prediction",1,23,"-","T","03-11-2022","-","-"
"ENST00000369555_200_272","862c8eb7da0221a6699570a04d3db5c9",23,"MobiDBLite","mobidb-lite","consensus disorder prediction",1,23,"-","T","03-11-2022","-","-"
"ENCT00000022190_ncRNA_6","13da9723b7bd3fd00eefefec5f0e7cbe",21,"MobiDBLite","mobidb-lite","consensus disorder prediction",1,21,"-","T","03-11-2022","-","-"
"ENST00000337231_uORF_6","9543e8f4c427b6f132b2eb9ed20da95a",34,"MobiDBLite","mobidb-lite","consensus disorder prediction",1,34,"-","T","03-11-2022","-","-"
"ENST00000526064_46_139","581c88e0a7ba812789e865e06079bf1b",30,"MobiDBLite","mobidb-lite","consensus disorder prediction",1,30,"-","T","03-11-2022","-","-"
"ENCT00000339573_161_221","6155e2e4f3cd796382d1098c8e93499e",20,"MobiDBLite","mobidb-lite","consensus disorder prediction",1,20,"-","T","03-11-2022","-","-"
"ENCT00000211905_ncRNA_89","6e134de8309597ffd14d79a8637a637c",20,"MobiDBLite","mobidb-lite","consensus disorder prediction",1,20,"-","T","03-11-2022","-","-"
"ENST00000331200_uoORF_10","99467f28f7ffbac4eb28ff4d24f29e1b",30,"MobiDBLite","mobidb-lite","consensus disorder prediction",1,30,"-","T","03-11-2022","-","-"
"FTMT27300000458_256_328","f08cf1bf0b97756c47208cc1abeb89b2",23,"MobiDBLite","mobidb-lite","consensus disorder prediction",1,23,"-","T","03-11-2022","-","-"
"FTMT22100062991_734_1286","96f6b3f6a6cd34b3209f4b8395ff6bd4",184,"Pfam","PF13483","Beta-lactamase superfamily domain",4,96,"2.0E-5","T","03-11-2022","-","-"
"FTMT22100062991_734_1286","96f6b3f6a6cd34b3209f4b8395ff6bd4",184,"SUPERFAMILY","SSF56281","Metallo-hydrolase/oxidoreductase",4,170,"1.54E-15","T","03-11-2022","IPR036866","Ribonuclease Z/Hydroxyacylglutathione hydrolase-like"
"FTMT22100062991_734_1286","96f6b3f6a6cd34b3209f4b8395ff6bd4",184,"Gene3D","G3DSA:3.60.15.10","-",1,141,"1.9E-13","T","03-11-2022","IPR036866","Ribonuclease Z/Hydroxyacylglutathione hydrolase-like"
"FTMT22100062991_734_1286","96f6b3f6a6cd34b3209f4b8395ff6bd4",184,"PANTHER","PTHR46522","CYTIDINE MONOPHOSPHATE-N-ACETYLNEURAMINIC ACID HYDROXYLASE",1,180,"8.0E-121","T","03-11-2022","IPR027033","Cytidine monophosphate-N-acetylneuraminic acid hydroxylase"
"HBMT00000880482_ncRNA_8","d9acb7715f831717927ee65207cba0e7",68,"MobiDBLite","mobidb-lite","consensus disorder prediction",39,68,"-","T","03-11-2022","-","-"
"ENST00000573719_uORF_5","4dab981855c293e01287b299cfe62add",44,"MobiDBLite","mobidb-lite","consensus disorder prediction",1,44,"-","T","03-11-2022","-","-"
"ENST00000417201_loayza-puch-2013:1351939_id","82258c351e5c36f96dd40be4873cea47",27,"MobiDBLite","mobidb-lite","consensus disorder prediction",1,27,"-","T","03-11-2022","-","-"
"ENST00000397821_59_131","a3fc83a175dfb91ac3fdd856d7f4beec",24,"MobiDBLite","mobidb-lite","consensus disorder prediction",1,24,"-","T","03-11-2022","-","-"
"ENST00000005259_144_219","fc1cdd612c5e78d6f9e4783a0637314a",24,"MobiDBLite","mobidb-lite","consensus disorder prediction",1,24,"-","T","03-11-2022","-","-"
"ENST00000615849_uORF_14","7ed20195ee821a7788dfcb7d96520207",20,"MobiDBLite","mobidb-lite","consensus disorder prediction",1,20,"-","T","03-11-2022","-","-"
"ENCT00000129778_100_169","b345536a5a1d71461b09d94fa9d14df6",23,"MobiDBLite","mobidb-lite","consensus disorder prediction",1,23,"-","T","03-11-2022","-","-"
"MICT00000042619_ncRNA_8","e5a38f63ccef78a3019fb7be9446f606",47,"MobiDBLite","mobidb-lite","consensus disorder prediction",27,47,"-","T","03-11-2022","-","-"
"ENST00000379487_uORF_62","973e099d409471a26b7781c6b7d3edac",21,"MobiDBLite","mobidb-lite","consensus disorder prediction",1,21,"-","T","03-11-2022","-","-"
